disaster_name,disaster_type,start_date,end_date,adjusted_cost,unadjusted_cost,deaths,date category
Missouri River flooding,Flooding,2011-05-01,2011-06-30,2843,2002,5,May-June 2011
North Central Severe Weather,Severe Storm,2011-07-01,2011-07-01,1225,888,0,"July 1, 2011"
Rockies and Midwest Derecho,Severe Storm,2011-07-10,2011-07-11,1704,1235,2,"July 10-11, 2011"
Midwest/Southeast Severe Weather,Severe Storm,2011-08-17,2011-08-18,1589,1151,0,"August 17-18, 2011"
Hurricane Irene,Tropical Cyclone,2011-08-26,2011-08-28,18621,13494,45,August 2011
Southern Plains/Southwest Drought and Heat Wave,Drought,2011-03-01,2011-08-31,16989,11964,95,Spring-Summer 2011
Tropical Storm Lee,Tropical Cyclone,2011-09-01,2011-09-05,3467,2512,21,September 2011
Northeastern Winter Storm,Winter Storm,2011-10-29,2011-10-30,1276,925,1,October 2011
"Texas, New Mexico, Arizona Wildfires",Wildfire,2011-06-01,2011-11-30,2512,1820,5,Summer-Fall 2011
Southeast/Ohio Valley Tornadoes,Severe Storm,2012-03-02,2012-03-03,4255,3128,42,March 2012
Texas Tornadoes,Severe Storm,2012-04-02,2012-04-03,1380,1015,0,April 2012
Midwest Tornadoes,Severe Storm,2012-04-13,2012-04-14,1528,1123,6,April 2012
Midwest/Ohio Valley Severe Weather,Severe Storm,2012-04-28,2012-05-01,4455,3276,1,April-May 2012
Southern Plains/Midwest/Northeast Severe Weather,Severe Storm,2012-05-25,2012-05-30,3133,2303,1,May 2012
Rockies/Southwest Severe Weather,Severe Storm,2012-06-06,2012-06-12,3533,2597,0,June 2012
Plains/East/Northeast Derecho,Severe Storm,2012-06-29,2012-07-02,3928,2888,28,June-July 2012
Hurricane Isaac,Tropical Cyclone,2012-08-26,2012-08-31,3758,2763,9,August 2012
Hurricane Sandy,Tropical Cyclone,2012-10-30,2012-10-31,87803,65039,159,October 2012
Western Wildfires,Wildfire,2012-06-01,2012-11-30,2364,1738,8,Summer-Fall 2012
U.S. Drought/Heat Wave,Drought,2012-01-01,2012-12-31,41404,30003,123,2012
Southern Severe Weather,Severe Storm,2013-02-24,2013-02-25,1244,922,1,February 2013
Southeast Severe Weather,Severe Storm,2013-03-18,2013-03-18,2706,2020,1,March 2013
Midwest/Plains Severe Weather,Severe Storm,2013-04-07,2013-04-11,1935,1444,1,April 2013
Illinois Flooding and Severe Weather,Flooding,2013-04-16,2013-04-19,1443,1077,4,April 2013
Midwest/Plains/East Tornadoes,Severe Storm,2013-05-18,2013-05-22,3216,2400,27,May 2013
Midwest/Plains/Northeast Tornadoes,Severe Storm,2013-05-27,2013-05-31,2430,1813,10,May 2013
Midwest Severe Weather,Severe Storm,2013-08-06,2013-08-07,1396,1041,0,August 2013
Colorado Flooding,Flooding,2013-09-10,2013-09-16,2021,1508,9,September 2013
