,name,disaster,begDate,endDate,adjCost,unadjCost,deaths
361,Typhoon Mawar (May 2023),Tropical Cyclone,20230524,20230525,4377.5,4250.0,2
362,Southern Severe Weather (June 2023),Severe Storm,20230611,20230614,4153.1,4032.0,0
363,Central and Southern Severe Weather (June 2023),Severe Storm,20230615,20230618,3881.1,3768.0,5
364,Rockies Hail Storms and Central and Eastern Severe Weather (June 2023),Severe Storm,20230621,20230626,5401.4,5244.0,8
365,Central Severe Weather (June 2023),Severe Storm,20230628,20230702,1957.3,1919.0,3
366,Northeastern Flooding and North Central Severe Weather (July 2023),Flooding,20230709,20230715,2208.3,2165.0,10
367,North Central and Southeastern Severe Weather (July 2023),Severe Storm,20230719,20230721,1868.7,1832.0,1
368,North Central and Eastern Severe Weather (July 2023),Severe Storm,20230728,20230729,1511.6,1482.0,2
369,Northeastern and Eastern Severe Weather (August 2023),Severe Storm,20230805,20230808,1663.6,1631.0,4
370,Hawaii Firestorm (August 2023),Wildfire,20230808,20230808,5610.0,5500.0,100
371,Minnesota Hail Storms (August 2023),Severe Storm,20230811,20230811,1810.5,1775.0,0
372,Hurricane Idalia (August 2023),Tropical Cyclone,20230829,20230831,3525.1,3456.0,5
373,Southern Hail Storms (September 2023),Severe Storm,20230923,20230924,1677.9,1645.0,0
374,Southern/Midwestern Drought and Heatwave (Spring-Fall 2023),Drought,20230401,20230930,14645.2,14082.0,247
375,East Coast Storm and Flooding (December 2023),Flooding,20231216,20231218,1301.6,1276.0,5
376,Southern Tornado Outbreak and East Coast Storm (January 2024),Severe Storm,20240108,20240110,2700.8,2674.0,3
377,Northwest Winter Storm (January 2024),Winter Storm,20240112,20240115,1142.3,1131.0,20
378,Central and Southern Winter Storm and Cold Wave (January 2024),Winter Storm,20240114,20240118,1345.3,1332.0,41
379,Southern Severe Weather (February 2024),Severe Storm,20240210,20240212,1150.5,1139.0,0
380,Central and Southern Severe Weather (March 2024),Severe Storm,20240313,20240315,4354.1,4311.0,3
381,Central Tornado Outbreak and Eastern Severe Weather (April 2024),Severe Storm,20240401,20240403,1823.0,1823.0,3
382,Southern and Eastern Severe Weather (April 2024),Severe Storm,20240408,20240411,1510.0,1510.0,0
